model_id,layers,kv_heads,head_dim,context,kv_per_token_per_layer_fp16_bytes,kv_per_token_per_layer_fp32_bytes,kv_per_token_all_layers_fp16_bytes,kv_per_token_all_layers_fp32_bytes,full_context_fp16_bytes,full_context_fp32_bytes
facebook/opt-125m,12,12,64,2048,3072,6144,36864,73728,75497472,150994944
roneneldan/TinyStories-1M,8,16,4,2048,256,512,2048,4096,4194304,8388608
roneneldan/TinyStories-3M,8,16,8,2048,512,1024,4096,8192,8388608,16777216
roneneldan/TinyStories-8M,8,16,16,2048,1024,2048,8192,16384,16777216,33554432
roneneldan/TinyStories-33M,4,16,48,2048,3072,6144,12288,24576,25165824,50331648
HuggingFaceTB/SmolLM-135M,30,3,64,2048,768,1536,23040,46080,47185920,94371840
HuggingFaceTB/SmolLM2-135M,30,3,64,8192,768,1536,23040,46080,188743680,377487360
HuggingFaceTB/SmolLM2-360M,32,5,64,8192,1280,2560,40960,81920,335544320,671088640
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,22,4,64,2048,1024,2048,22528,45056,46137344,92274688
Qwen/Qwen2.5-0.5B,24,2,64,32768,512,1024,12288,24576,402653184,805306368
Qwen/Qwen3-0.6B,28,8,128,40960,4096,8192,114688,229376,4697620480,9395240960
EleutherAI/pythia-70m-deduped,6,8,64,2048,2048,4096,12288,24576,25165824,50331648
EleutherAI/pythia-160m-deduped,12,12,64,2048,3072,6144,36864,73728,75497472,150994944
distilgpt2,6,12,64,1024,3072,6144,18432,36864,18874368,37748736
